n,seed,model,arm,test_mae
25,0,mean_baseline,composition_all,1.5678483786166364
25,0,random_forest,composition_all,1.4538882634283652
25,0,xgboost,composition_all,1.4720891269679035
25,1,mean_baseline,composition_all,1.7084808133638594
25,1,random_forest,composition_all,1.477544702076678
25,1,xgboost,composition_all,1.4732571973456112
25,2,mean_baseline,composition_all,1.7346646785759159
25,2,random_forest,composition_all,1.9587304063042716
25,2,xgboost,composition_all,2.151876647217665
25,3,mean_baseline,composition_all,1.5696850239533036
25,3,random_forest,composition_all,1.6359936535750916
25,3,xgboost,composition_all,2.3396371499006303
25,4,mean_baseline,composition_all,1.670526803205166
25,4,random_forest,composition_all,1.497344203666466
25,4,xgboost,composition_all,1.574627846050549
50,0,mean_baseline,composition_all,1.6432490176348007
50,0,random_forest,composition_all,1.3397252415615777
50,0,xgboost,composition_all,1.333044327049252
50,1,mean_baseline,composition_all,1.6838684543139857
50,1,random_forest,composition_all,1.3283383849581203
50,1,xgboost,composition_all,1.32480651041915
50,2,mean_baseline,composition_all,1.6335173379703276
50,2,random_forest,composition_all,1.6724834101201678
50,2,xgboost,composition_all,1.6201102077535567
50,3,mean_baseline,composition_all,1.609141072761943
50,3,random_forest,composition_all,1.535119971753269
50,3,xgboost,composition_all,1.9775264835053206
50,4,mean_baseline,composition_all,1.6867715707233977
50,4,random_forest,composition_all,1.6371284747612238
50,4,xgboost,composition_all,1.4539677774898376
100,0,mean_baseline,composition_all,1.6476374883389642
100,0,random_forest,composition_all,1.2611714432795487
100,0,xgboost,composition_all,1.2488931566298616
100,1,mean_baseline,composition_all,1.6466421265732547
100,1,random_forest,composition_all,1.1614232416313743
100,1,xgboost,composition_all,1.121656570156171
100,2,mean_baseline,composition_all,1.6111401316668927
100,2,random_forest,composition_all,1.335504783395826
100,2,xgboost,composition_all,1.2864926274032278
100,3,mean_baseline,composition_all,1.5735079415683093
100,3,random_forest,composition_all,1.332617064357088
100,3,xgboost,composition_all,1.3116500799916515
100,4,mean_baseline,composition_all,1.703743349523266
100,4,random_forest,composition_all,1.3346847061328835
100,4,xgboost,composition_all,1.3871468709310022
150,0,mean_baseline,composition_all,1.6355926990908847
150,0,random_forest,composition_all,1.2610467823765295
150,0,xgboost,composition_all,1.1787554836585892
150,1,mean_baseline,composition_all,1.6287696559755152
150,1,random_forest,composition_all,1.180583399060821
150,1,xgboost,composition_all,1.1851227859036908
150,2,mean_baseline,composition_all,1.5902672482788813
150,2,random_forest,composition_all,1.2743004738212362
150,2,xgboost,composition_all,1.1191125820960228
150,3,mean_baseline,composition_all,1.5894373247105944
150,3,random_forest,composition_all,1.276359740475632
150,3,xgboost,composition_all,1.2335259278040032
150,4,mean_baseline,composition_all,1.6370249927709317
150,4,random_forest,composition_all,1.2046555734053128
150,4,xgboost,composition_all,1.2254074742667294
200,0,mean_baseline,composition_all,1.6224711313770075
200,0,random_forest,composition_all,1.1147284855675075
200,0,xgboost,composition_all,1.0464060297985365
200,1,mean_baseline,composition_all,1.6235852008604756
200,1,random_forest,composition_all,1.1130465480414358
200,1,xgboost,composition_all,1.0209890925363287
200,2,mean_baseline,composition_all,1.6036683534278018
200,2,random_forest,composition_all,1.15277587562574
200,2,xgboost,composition_all,1.0281183614899836
200,3,mean_baseline,composition_all,1.5787060223602924
200,3,random_forest,composition_all,1.2601680127558883
200,3,xgboost,composition_all,1.112353847870712
200,4,mean_baseline,composition_all,1.6092851126753456
200,4,random_forest,composition_all,1.2187585950368707
200,4,xgboost,composition_all,1.0681090584626307
300,0,mean_baseline,composition_all,1.6574569717393184
300,0,random_forest,composition_all,0.9836926396377559
300,0,xgboost,composition_all,0.9098704286864103
300,1,mean_baseline,composition_all,1.6294031864942844
300,1,random_forest,composition_all,1.0253330516678356
300,1,xgboost,composition_all,0.916773232417841
300,2,mean_baseline,composition_all,1.6075594605518515
300,2,random_forest,composition_all,1.0517235123787751
300,2,xgboost,composition_all,0.9127846569131552
300,3,mean_baseline,composition_all,1.5885053925671766
300,3,random_forest,composition_all,1.181898322004716
300,3,xgboost,composition_all,1.0395825642390872
300,4,mean_baseline,composition_all,1.6113647499639054
300,4,random_forest,composition_all,1.0911796234052165
300,4,xgboost,composition_all,1.0143827676270367
400,0,mean_baseline,composition_all,1.631743765541967
400,0,random_forest,composition_all,1.0271219798411406
400,0,xgboost,composition_all,0.9607391442149184
400,1,mean_baseline,composition_all,1.6156956770541957
400,1,random_forest,composition_all,0.9749407485694188
400,1,xgboost,composition_all,0.8926851523646012
400,2,mean_baseline,composition_all,1.6160283920881267
400,2,random_forest,composition_all,0.997331547504569
400,2,xgboost,composition_all,0.8744155713649757
400,3,mean_baseline,composition_all,1.6214383453146093
400,3,random_forest,composition_all,1.0300546201795595
400,3,xgboost,composition_all,0.9257147605480233
400,4,mean_baseline,composition_all,1.623497047675414
400,4,random_forest,composition_all,1.0136087226765629
400,4,xgboost,composition_all,0.9473942943464412
